epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0486,1.85141,6.23725,0.00239,0.00134,0.00299,2e-05,1e-05,2.65783,4.19271,0.00322,2e-05,2e-05,0.09602
2,23.3898,2.24588,4.41561,0.00297,0.00896,0.01506,0.00193,0.00147,2.91099,4.46443,0.00334,4.49974e-05,4.49974e-05,0.091045
3,29.5702,2.01721,3.36001,0.00245,0.06485,0.0883,0.01516,0.00461,2.6513,4.04876,0.00306,6.99836e-05,6.99836e-05,0.08607
4,36.9712,2.03605,2.77943,0.00249,0.06025,0.0463,0.01318,0.00531,2.99464,4.34481,0.00337,9.49499e-05,9.49499e-05,0.0810949
5,43.2875,1.9407,2.36525,0.00221,0.06116,0.0538,0.02591,0.01192,2.77778,4.35044,0.00322,0.000119888,0.000119888,0.0761199
6,49.6707,1.88144,2.21541,0.00201,0.11186,0.09261,0.04592,0.01916,2.67427,4.25774,0.00313,0.000144788,0.000144788,0.0711448
7,58.1431,1.87833,2.25807,0.00261,0.17095,0.17162,0.11768,0.06615,2.27436,3.88047,0.00254,0.000169642,0.000169642,0.0661696
8,63.8502,1.90835,2.10862,0.00229,0.15242,0.22529,0.17061,0.10014,2.10401,3.53297,0.00233,0.000194441,0.000194441,0.0611944
9,68.9222,1.91946,1.93033,0.00225,0.15317,0.2509,0.18302,0.1108,1.96601,3.44472,0.00223,0.000219176,0.000219176,0.0562192
10,75.49,1.99314,1.92097,0.00219,0.20931,0.26324,0.20101,0.12026,1.9738,3.52966,0.00214,0.000243839,0.000243839,0.0512438
11,80.868,1.74389,1.69682,0.00191,0.19734,0.27976,0.20279,0.11853,1.97461,3.38044,0.00216,0.000268421,0.000268421,0.0462684
12,85.8238,1.78115,1.78541,0.00211,0.15569,0.34239,0.24711,0.13995,1.94572,2.94148,0.0021,0.000292913,0.000292913,0.0412929
13,91.2149,1.83121,1.57272,0.00192,0.67776,0.21122,0.27476,0.15708,1.90366,2.28561,0.00201,0.000317308,0.000317308,0.0363173
14,97.0611,1.82251,1.55634,0.00182,0.67776,0.21122,0.27476,0.15708,1.90366,2.28561,0.00201,0.000341595,0.000341595,0.0313416
15,103.192,1.69867,1.34576,0.00178,0.67365,0.20551,0.26721,0.16517,1.78177,1.8262,0.00193,0.000365767,0.000365767,0.0263658
16,109.298,1.75822,1.60519,0.00204,0.71369,0.22412,0.2827,0.17604,1.78161,1.51856,0.0019,0.000389816,0.000389816,0.0213898
17,115.618,1.80376,1.46337,0.00183,0.4717,0.24266,0.29823,0.18393,1.74934,1.43209,0.00184,0.000413732,0.000413732,0.0164137
18,121.259,1.73831,1.50693,0.00225,0.4717,0.24266,0.29823,0.18393,1.74934,1.43209,0.00184,0.000437508,0.000437508,0.0114375
19,127.785,1.52021,1.30502,0.00164,0.51887,0.26245,0.33736,0.19665,1.74386,1.25803,0.00179,0.000461136,0.000461136,0.00646114
20,133.124,1.61174,1.42486,0.00189,0.35852,0.33894,0.37007,0.20588,1.73206,1.19709,0.00173,0.000484606,0.000484606,0.00148461
21,138.907,1.73622,1.32988,0.00179,0.35852,0.33894,0.37007,0.20588,1.73206,1.19709,0.00173,0.000488376,0.000488376,0.000488376
22,145.199,1.55599,1.26983,0.00171,0.62193,0.33453,0.385,0.21699,1.66786,1.22708,0.00166,0.000487195,0.000487195,0.000487195
23,150.238,1.65029,1.30293,0.00182,0.7774,0.30865,0.34838,0.20007,1.73749,1.30415,0.00174,0.000485959,0.000485959,0.000485959
24,154.118,1.67445,1.20258,0.00165,0.7774,0.30865,0.34838,0.20007,1.73749,1.30415,0.00174,0.000484668,0.000484668,0.000484668
25,157.464,1.71862,1.21447,0.00177,0.8477,0.30302,0.3521,0.19855,1.76718,1.33204,0.00179,0.000483322,0.000483322,0.000483322
26,161.029,1.65194,1.23486,0.00173,0.8477,0.30302,0.3521,0.19855,1.76718,1.33204,0.00179,0.000481921,0.000481921,0.000481921
27,164.583,1.62994,1.20391,0.00168,0.89466,0.26214,0.37436,0.21568,1.72672,1.35101,0.00171,0.000480467,0.000480467,0.000480467
28,167.882,1.58465,1.13016,0.00167,0.80421,0.31489,0.42196,0.23163,1.68448,1.3545,0.00169,0.000478958,0.000478958,0.000478958
29,172.061,1.51751,1.14761,0.00174,0.80421,0.31489,0.42196,0.23163,1.68448,1.3545,0.00169,0.000477396,0.000477396,0.000477396
30,176.356,1.64483,1.15784,0.00178,0.57112,0.37981,0.4862,0.24751,1.76463,1.3502,0.00176,0.000475782,0.000475782,0.000475782
31,180.924,1.59748,1.14503,0.00168,0.57501,0.40902,0.50518,0.2532,1.75599,1.21242,0.00175,0.000474114,0.000474114,0.000474114
32,185.217,1.61926,1.11265,0.00176,0.57501,0.40902,0.50518,0.2532,1.75599,1.21242,0.00175,0.000472394,0.000472394,0.000472394
33,189.463,1.58729,1.12528,0.00164,0.48123,0.51695,0.5332,0.2966,1.69812,1.09988,0.00169,0.000470623,0.000470623,0.000470623
34,193.647,1.53785,1.04018,0.00151,0.48123,0.51695,0.5332,0.2966,1.69812,1.09988,0.00169,0.0004688,0.0004688,0.0004688
35,197.887,1.61461,1.11477,0.00167,0.50892,0.49692,0.53292,0.29954,1.74748,1.12785,0.0017,0.000466926,0.000466926,0.000466926
