epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0793,2.87255,5.78615,0.00583,0,0,0,0,3.46619,4.98094,0.0046,2e-05,2e-05,0.09602
2,19.4706,2.82589,5.01121,0.00512,0,0,0,0,3.8711,4.80846,0.00582,4.49974e-05,4.49974e-05,0.091045
3,20.7582,2.84752,4.61426,0.00502,0,0,0,0,3.82315,4.67823,0.00574,6.99836e-05,6.99836e-05,0.08607
4,22.0904,2.79273,4.29703,0.00474,0,0,0,0,3.82456,4.52954,0.00556,9.49499e-05,9.49499e-05,0.0810949
5,23.4122,2.90367,3.91694,0.0045,0,0,0,0,3.83873,4.4117,0.00564,0.000119888,0.000119888,0.0761199
6,24.6689,2.84383,3.76944,0.00407,0,0,0,0,3.81314,4.35206,0.00564,0.000144788,0.000144788,0.0711448
7,25.9297,2.74024,3.81781,0.00468,0,0,0,0,3.75401,4.2578,0.00574,0.000169642,0.000169642,0.0661696
8,27.1568,2.96147,3.80313,0.0047,0,0,0,0,3.65392,4.23293,0.00539,0.000194441,0.000194441,0.0611944
9,28.4047,2.89396,3.68975,0.00451,0.13333,0.00889,0.00767,0.00307,3.51837,4.18487,0.00504,0.000219176,0.000219176,0.0562192
10,29.8044,2.8829,3.59535,0.00423,0.04082,0.08889,0.05279,0.01857,3.28415,4.05991,0.00432,0.000243839,0.000243839,0.0512438
11,31.0446,2.73108,3.30492,0.00403,0.01783,0.12444,0.05606,0.01867,3.23691,3.96747,0.00414,0.000268421,0.000268421,0.0462684
12,32.2773,2.61779,3.62984,0.00398,0.03832,0.13798,0.05632,0.02024,3.16901,3.87697,0.00397,0.000292913,0.000292913,0.0412929
13,33.5064,2.63065,3.33659,0.00381,0.01793,0.15131,0.07155,0.02771,3.1187,3.78077,0.00389,0.000317308,0.000317308,0.0363173
14,34.7153,2.82224,3.26281,0.00393,0.01793,0.15131,0.07155,0.02771,3.1187,3.78077,0.00389,0.000341595,0.000341595,0.0313416
15,35.9562,2.66616,3.17462,0.00369,0.02895,0.16505,0.07452,0.02679,3.11451,3.70187,0.00384,0.000365767,0.000365767,0.0263658
16,37.306,2.77791,3.55224,0.00398,0.01813,0.16949,0.08231,0.02806,3.10461,3.61282,0.00384,0.000389816,0.000389816,0.0213898
17,38.5076,2.6958,3.12959,0.00366,0.01041,0.16949,0.08257,0.02796,3.12175,3.51318,0.00387,0.000413732,0.000413732,0.0164137
18,39.7233,2.67105,3.13357,0.00419,0.01041,0.16949,0.08257,0.02796,3.12175,3.51318,0.00387,0.000437508,0.000437508,0.0114375
19,40.9066,2.49033,2.9968,0.00336,0.00899,0.17394,0.08819,0.02993,3.10343,3.43232,0.00387,0.000461136,0.000461136,0.00646114
