epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7054,2.00926,6.88064,0.00281,0.21818,0.01354,0.0095,0.00705,2.61353,6.66558,0.003,2e-05,2e-05,0.09602
2,21.4554,2.36687,5.25519,0.00335,0,0,0,0,2.79363,22.2455,0.00334,4.49974e-05,4.49974e-05,0.091045
3,23.5436,2.38381,3.94671,0.00329,0,0,0,0,2.9057,14.163,0.0035,6.99836e-05,6.99836e-05,0.08607
4,25.8533,2.21718,3.20752,0.00285,0,0,0,0,3.17003,9.4235,0.00374,9.49499e-05,9.49499e-05,0.0810949
5,27.9915,2.36652,2.65103,0.00275,0,0,0,0,3.09744,7.5674,0.00376,0.000119888,0.000119888,0.0761199
6,29.9814,2.07507,2.42939,0.00228,0,0,0,0,2.9981,6.60392,0.00367,0.000144788,0.000144788,0.0711448
7,32.0265,2.0023,2.48752,0.00271,0.18151,0.07636,0.03617,0.02445,2.84999,5.02127,0.00343,0.000169642,0.000169642,0.0661696
8,34.3645,2.1771,2.42163,0.0026,0.14864,0.09859,0.05875,0.03948,2.8183,4.31867,0.00335,0.000194441,0.000194441,0.0611944
9,36.7014,2.11938,2.18915,0.00252,0.27632,0.14482,0.09183,0.05679,2.6773,3.72887,0.00321,0.000219176,0.000219176,0.0562192
10,39.1757,2.09696,2.10976,0.00243,0.12826,0.25328,0.16793,0.09281,2.35587,2.96972,0.00267,0.000243839,0.000243839,0.0512438
11,41.5765,1.96215,1.88864,0.00222,0.54893,0.11765,0.18654,0.10535,2.25751,2.68993,0.00251,0.000268421,0.000268421,0.0462684
12,43.9833,1.84999,1.86601,0.00229,0.71186,0.13006,0.19989,0.11361,2.16929,2.49122,0.0024,0.000292913,0.000292913,0.0412929
